date_id,date,year,quarter,month,month_name
1,2015-01-01,2015,1,1,January
2,2015-01-02,2015,1,1,January
3,2015-01-03,2015,1,1,January
4,2015-01-04,2015,1,1,January
5,2015-01-05,2015,1,1,January
6,2015-01-06,2015,1,1,January
7,2015-01-07,2015,1,1,January
8,2015-01-08,2015,1,1,January
9,2015-01-09,2015,1,1,January
10,2015-01-10,2015,1,1,January
11,2015-01-11,2015,1,1,January
12,2015-01-12,2015,1,1,January
13,2015-01-13,2015,1,1,January
14,2015-01-14,2015,1,1,January
15,2015-01-15,2015,1,1,January
16,2015-01-16,2015,1,1,January
17,2015-01-17,2015,1,1,January
18,2015-01-18,2015,1,1,January
19,2015-01-19,2015,1,1,January
20,2015-01-20,2015,1,1,January
21,2015-01-21,2015,1,1,January
22,2015-01-22,2015,1,1,January
23,2015-01-23,2015,1,1,January
24,2015-01-24,2015,1,1,January
25,2015-01-25,2015,1,1,January
26,2015-01-26,2015,1,1,January
27,2015-01-27,2015,1,1,January
28,2015-01-28,2015,1,1,January
29,2015-01-29,2015,1,1,January
30,2015-01-30,2015,1,1,January
31,2015-01-31,2015,1,1,January
32,2015-02-01,2015,1,2,February
33,2015-02-02,2015,1,2,February
34,2015-02-03,2015,1,2,February
35,2015-02-04,2015,1,2,February
36,2015-02-05,2015,1,2,February
37,2015-02-06,2015,1,2,February
38,2015-02-07,2015,1,2,February
39,2015-02-08,2015,1,2,February
40,2015-02-09,2015,1,2,February
41,2015-02-10,2015,1,2,February
42,2015-02-11,2015,1,2,February
43,2015-02-12,2015,1,2,February
44,2015-02-13,2015,1,2,February
45,2015-02-14,2015,1,2,February
46,2015-02-15,2015,1,2,February
47,2015-02-16,2015,1,2,February
48,2015-02-17,2015,1,2,February
49,2015-02-18,2015,1,2,February
50,2015-02-19,2015,1,2,February
51,2015-02-20,2015,1,2,February
52,2015-02-21,2015,1,2,February
53,2015-02-22,2015,1,2,February
54,2015-02-23,2015,1,2,February
55,2015-02-24,2015,1,2,February
56,2015-02-25,2015,1,2,February
57,2015-02-26,2015,1,2,February
58,2015-02-27,2015,1,2,February
