business_id,account_id,date,amount,transaction_type,merchant_category,balance_after_transaction,risk_label
1006,A1006_1,2023-01-01 00:00:00.000000000,-51.92,debit,services,-597.71,0
1019,A1019_0,2023-01-01 10:56:01.201501877,-300.63,debit,misc,-560.51,0
1028,A1028_1,2023-01-01 21:52:02.403003754,-49.15,debit,misc,-952.4,0
1014,A1014_1,2023-01-02 08:48:03.604505632,-54.54,debit,services,-104.87,0
1010,A1010_1,2023-01-02 19:44:04.806007509,-539.38,debit,utilities,-519.93,0
1007,A1007_0,2023-01-03 06:40:06.007509386,-10.86,debit,misc,-772.61,0
1028,A1028_0,2023-01-03 17:36:07.209011264,-46.19,debit,retail,-1348.71,0
1020,A1020_1,2023-01-04 04:32:08.410513141,139.24,credit,transport,-468.82,0
1006,A1006_0,2023-01-04 15:28:09.612015018,369.79,credit,transport,-619.62,0
1025,A1025_1,2023-01-05 02:24:10.813516896,225.31,credit,salary,-682.67,0
1018,A1018_0,2023-01-05 13:20:12.015018773,-53.78,debit,salary,-661.43,0
1022,A1022_1,2023-01-06 00:16:13.216520650,-221.31,debit,transport,-722.47,0
1010,A1010_1,2023-01-06 11:12:14.418022528,514.67,credit,transport,-63.88,0
1010,A1010_0,2023-01-06 22:08:15.619524405,11.84,credit,retail,-115.31,0
1023,A1023_1,2023-01-07 09:04:16.821026282,2.79,credit,services,-487.92,1
1020,A1020_0,2023-01-07 20:00:18.022528160,-4.83,debit,salary,295.04,0
1003,A1003_1,2023-01-08 06:56:19.224030037,39.62,credit,services,-74.51,0
1007,A1007_1,2023-01-08 17:52:20.425531914,-28.87,debit,retail,-272.33,0
1023,A1023_0,2023-01-09 04:48:21.627033792,-114.73,debit,transport,160.16,1
1002,A1002_0,2023-01-09 15:44:22.828535669,-109.37,debit,misc,-637.32,1
1021,A1021_0,2023-01-10 02:40:24.030037546,-6.55,debit,services,-777.52,1
1020,A1020_1,2023-01-10 13:36:25.231539424,-108.68,debit,transport,-15.78,0
1001,A1001_0,2023-01-11 00:32:26.433041301,-142.57,debit,transport,27.32,0
1023,A1023_1,2023-01-11 11:28:27.634543178,21.29,credit,utilities,-657.44,1
1011,A1011_1,2023-01-11 22:24:28.836045056,-51.0,debit,services,-583.6,1
1029,A1029_0,2023-01-12 09:20:30.037546933,300.8,credit,misc,-613.01,0
1005,A1005_0,2023-01-12 20:16:31.239048811,-530.19,debit,services,-797.55,0
1001,A1001_1,2023-01-13 07:12:32.440550688,218.3,credit,transport,-723.61,0
1027,A1027_1,2023-01-13 18:08:33.642052565,249.22,credit,misc,-362.32,1
1020,A1020_0,2023-01-14 05:04:34.843554443,-414.68,debit,retail,-623.58,0
1000,A1000_0,2023-01-14 16:00:36.045056320,-68.54,debit,utilities,-1144.34,0
1011,A1011_0,2023-01-15 02:56:37.246558197,-74.29,debit,transport,-997.73,1
1025,A1025_0,2023-01-15 13:52:38.448060075,-281.5,debit,salary,-1711.82,0
1021,A1021_0,2023-01-16 00:48:39.649561952,-155.56,debit,salary,-1432.75,1
1028,A1028_1,2023-01-16 11:44:40.851063829,-222.12,debit,utilities,-1576.4,0
1011,A1011_1,2023-01-16 22:40:42.052565707,350.45,credit,retail,-1129.23,1
1024,A1024_1,2023-01-17 09:36:43.254067584,187.14,credit,transport,-938.91,1
1016,A1016_1,2023-01-17 20:32:44.455569461,254.31,credit,services,-485.29,1
1026,A1026_0,2023-01-18 07:28:45.657071339,144.33,credit,utilities,-1074.04,1
1026,A1026_0,2023-01-18 18:24:46.858573216,-225.81,debit,retail,-1283.83,1
1009,A1009_0,2023-01-19 05:20:48.060075093,-104.9,debit,services,-784.16,0
1027,A1027_1,2023-01-19 16:16:49.261576971,97.87,credit,salary,-1456.67,1
1027,A1027_1,2023-01-20 03:12:50.463078848,-244.43,debit,salary,-1034.42,1
1015,A1015_0,2023-01-20 14:08:51.664580725,142.6,credit,services,-1300.9,0
1014,A1014_0,2023-01-21 01:04:52.866082603,-48.07,debit,utilities,-523.04,0
1029,A1029_1,2023-01-21 12:00:54.067584480,-74.96,debit,salary,-994.7,0
1029,A1029_1,2023-01-21 22:56:55.269086357,142.19,credit,transport,-993.4,0
1014,A1014_0,2023-01-22 09:52:56.470588235,88.85,credit,misc,-470.48,0
1029,A1029_0,2023-01-22 20:48:57.672090112,-72.19,debit,services,-1230.01,0
1018,A1018_1,2023-01-23 07:44:58.873591989,231.87,credit,services,-941.14,0
1011,A1011_0,2023-01-23 18:41:00.075093867,-216.21,debit,salary,-1273.77,1
1022,A1022_0,2023-01-24 05:37:01.276595744,123.19,credit,utilities,-1031.65,0
1019,A1019_0,2023-01-24 16:33:02.478097622,118.62,credit,transport,-635.19,0
1024,A1024_1,2023-01-25 03:29:03.679599499,-61.91,debit,utilities,-567.24,1
1002,A1002_1,2023-01-25 14:25:04.881101376,65.23,credit,retail,-361.77,1
1004,A1004_1,2023-01-26 01:21:06.082603254,-250.22,debit,retail,-1447.84,1
1018,A1018_1,2023-01-26 12:17:07.284105131,184.81,credit,misc,-767.17,0
1006,A1006_1,2023-01-26 23:13:08.485607008,-36.98,debit,salary,-1085.04,0
1020,A1020_1,2023-01-27 10:09:09.687108886,-104.54,debit,salary,-918.72,0
1008,A1008_1,2023-01-27 21:05:10.888610763,209.8,credit,salary,52.92,0
1006,A1006_0,2023-01-28 08:01:12.090112640,-140.87,debit,misc,-700.64,0
1017,A1017_0,2023-01-28 18:57:13.291614518,-281.69,debit,retail,-800.05,0
1003,A1003_0,2023-01-29 05:53:14.493116395,-311.33,debit,utilities,-793.01,0
1024,A1024_0,2023-01-29 16:49:15.694618272,121.2,credit,misc,-921.81,1
1027,A1027_0,2023-01-30 03:45:16.896120150,-256.09,debit,misc,-1650.48,1
1013,A1013_0,2023-01-30 14:41:18.097622027,350.96,credit,utilities,-1547.9,0
1017,A1017_0,2023-01-31 01:37:19.299123904,-416.39,debit,salary,-1590.58,0
1025,A1025_1,2023-01-31 12:33:20.500625782,339.29,credit,transport,-1412.56,0
1008,A1008_1,2023-01-31 23:29:21.702127659,42.2,credit,utilities,-1657.41,0
1025,A1025_0,2023-02-01 10:25:22.903629536,-19.34,debit,retail,-1147.11,0
1020,A1020_0,2023-02-01 21:21:24.105131414,-108.98,debit,services,-1248.6,0
